order,elected,name,party,votes
1,true,保坂　のぶと,無所属,83983
2,false,花輪　ともふみ,無所属,78444
3,false,川上　和彦,無所属,60340
4,false,すがや　やすこ,無所属,40831
5,false,けいの　靖幸,無所属,9963
